company,study_count,classification,top_chemicals,description,wiki_url
Schweizerischer Nationalfonds zur Förderung der wissenschaftlichen Forschung,129,Government,oxygen (21);carbon (20);Fe (18);Fe(II) (16);Fe(III) (10),,
Natural Environment Research Council,128,Government,N (103);O2 (21);carbon (20);DMS (11);nitrogen (10),"The Natural Environment Research Council (NERC) is a council of UK Research and Innovation (UKRI), a non-departmental public body sponsored by the Department for Science, Innovation and Technology, responsible for supporting research, training and knowledge transfer activities in the environmental sciences.",https://en.wikipedia.org/wiki/Natural_Environment_Research_Council
National Institute of Food and Agriculture,122,Government,carbon (29);nitrogen (15);Fe (15);oxygen (13);CH (10),"The National Institute of Food and Agriculture (NIFA) is a U.S. federal government body whose creation was mandated in the Food, Conservation, and Energy Act of 2008. Its purpose is to consolidate all federally funded agricultural research, and it is subordinate to the Department of Agriculture. It replaced the Cooperative State Research, Education, and Extension Service in 2009. Dr. Jaye L. Hamby was appointed NIFA Director on March 20, 2025.",https://en.wikipedia.org/wiki/National_Institute_of_Food_and_Agriculture
National Research Foundation of Korea,112,Government,carbon (19);oxygen (18);H2O2 (12);CO2 (10);iron (9),The National Research Foundation of Korea is a research institute for Korean studies.,https://en.wikipedia.org/wiki/National_Research_Foundation_of_Korea
Natural Science Foundation of Guangdong Province,110,Government,oxygen (16);enol (13);N2 (12);carbon (12);alkyl (12),,
Japan Society for the Promotion of Science,108,Government,carbon (19);oxygen (13);N (12);CO2 (9);O3 (8),"The Japan Society for the Promotion of Science  is an Independent Administrative Institution in Japan, established for the purpose of contributing to the advancement of science in all fields of the natural and social sciences and the humanities.",https://en.wikipedia.org/wiki/Japan_Society_for_the_Promotion_of_Science
Agence Nationale de la Recherche,103,Government,mercury (21);carbon (15);PP (13);methylmercury (12);monomethylmercury (11),"The Agence Nationale de la Recherche is a French institution tasked with funding scientific research. It was founded on 7 February 2005 as a groupement d'intérêt public, and has acquired the status of établissement public à caractère administratif on 1 August 2006.",https://en.wikipedia.org/wiki/Agence_nationale_de_la_recherche
U.S. Department of Defense,97,Government,fluoroalkyl (41);polyfluoroalkyl (31);perfluoroalkyl (21);PFAS (19);hydrogen (18),"The United States Department of Defense (DoD), also referred to as the Department of War (DoW), is an executive department of the United States federal government charged with coordinating and supervising the United States Armed Forces—the Army, Navy, Marines, Air Force, Space Force, and, for some purposes, the Coast Guard—and related functions and agencies. Headquartered at the Pentagon in Arlington County, Virginia, just outside Washington, D.C., the stated mission of the Department of Defense is ""to provide the military forces needed to deter war and ensure our nation's security"".",https://en.wikipedia.org/wiki/United_States_Department_of_Defense
National Aeronautics and Space Administration,93,Government,ozone (19);carbon (16);methane (14);NO2 (14);nitrate (8),"The National Aeronautics and Space Administration is an independent agency of the U.S. federal government responsible for the United States' civil space program and for research in aeronautics and space. Headquartered in Washington, D.C., NASA operates ten field centers across the U.S. and is organized into three mission directorates: Human Spaceflight, Research and Technology, and Science. Established in 1958 amid the Space Race, NASA succeeded the National Advisory Committee for Aeronautics (NACA) to give the U.S. space program a distinct civilian orientation focused on peaceful applications. Since then, it has led most American spaceflight programs, including Project Mercury, Project Gemini, the Apollo program, Skylab, the Space Shuttle, the International Space Station (ISS) and the ongoing multi-national Artemis program.",https://en.wikipedia.org/wiki/NASA
H2020 European Research Council,92,Government,SA (85);carbon (16);iron (11);sulfate (9);oxygen (9),,
European Commission,88,Government,carbon (14);CO2 (10);methane (8);ozone (6);amide (6),"The European Commission (EC) is the executive cabinet of the European Union. It is composed of 27 members of the Commission corresponding to the number of member states, unless the European Council, by unanimous consent, decides to alter this number.",https://en.wikipedia.org/wiki/European_Commission
Natural Science Foundation of Zhejiang Province,86,Government,O2 (15);CN (15);iron (13);PCP (13);carbon (12),,
Biological and Environmental Research,83,Government,carbon (25);oxygen (13);nitrogen (10);ferrous iron (10);methyl (9),,
Horizon 2020 Framework Programme,78,Government,carbon (12);DMS (9);nitrogen (8);CO2 (6);PFOS (6),,
U.S. Department of Agriculture,74,Government,nitrogen (9);oxygen (9);iron (9);Cu (7);carbon (6),"The United States Department of Agriculture (USDA) is an executive department of the United States federal government that aims to meet the needs of commercial farming and livestock food production, promotes agricultural trade and production, works to assure food safety, protects natural resources, fosters rural communities and works to end hunger in the United States and internationally. It is headed by the secretary of agriculture, who reports directly to the president of the United States and is a member of the president's Cabinet. The current secretary is Brooke Rollins, who has served since February 13, 2025.",https://en.wikipedia.org/wiki/United_States_Department_of_Agriculture
Engineering and Physical Sciences Research Council,73,Government,carbon (17);carbon dioxide (14);Fe (9);oxygen (7);uranium (5),"The Engineering and Physical Sciences Research Council (EPSRC) is a council of UK Research and Innovation (UKRI), a non-departmental public body sponsored by the Department for Science, Innovation and Technology, responsible for funding grants to undertake research and postgraduate degrees in engineering and the physical sciences, mainly to universities in the United Kingdom. EPSRC research areas include mathematics, physics, chemistry, artificial intelligence and computer science, but exclude particle physics, nuclear physics, space science and astronomy.",https://en.wikipedia.org/wiki/Engineering_and_Physical_Sciences_Research_Council
Guangdong Science and Technology Department,60,Government,carbon (12);oxygen (9);nitrogen (8);oxides (7);PP (6),,
Natural Science Foundation of Shandong Province,59,Government,oxygen (12);sulfur (8);graphene (8);NH3 (7);nitrogen (6),,
Environmental Protection Agency,55,Government,OC (14);carbon (10);nitro (7);oxygen (6);Copper (6),"The Environmental Protection Agency (EPA) is an independent agency of the United States government tasked with environmental protection matters. President Richard Nixon proposed the establishment of EPA on July 9, 1970; it began operation on December 2, 1970, after Nixon signed an executive order. The order establishing the EPA was ratified by committee hearings in the House and Senate.",https://en.wikipedia.org/wiki/United_States_Environmental_Protection_Agency
Government of Canada,54,Government,PCP (8);carbon (7);carbons (4);polyfluoroalkyl (4);amide (4),"The Government of Canada, formally His Majesty's Government, is the federal executive of Canada, which includes ministers of the Crown and the federal civil service ; it is corporately branded as the Government of Canada. There are over 100 departments and agencies, as well as over 300,000 persons employed in the Government of Canada. These institutions carry out the programs and enforce the laws established by the Parliament of Canada.",https://en.wikipedia.org/wiki/Government_of_Canada
Natural Science Foundation of Beijing Municipality,51,Government,oxygen (16);nitrogen (7);graphene oxide (6);NO2 (6);NH3 (5),,
Government of Jiangsu Province,50,Government,carbon (8);ammonia (5);nitrogen (4);nitrite (3);OPEs (3),,
National Institute of General Medical Sciences,43,Government,arsenic (12);methyl (11);carbon (8);arsenite (8);As(III) (7),"The National Institute of General Medical Sciences (NIGMS) is one of the National Institutes of Health (NIH), the principal medical research agency of the United States Federal Government. NIH is a component of the U.S. Department of Health and Human Services.",https://en.wikipedia.org/wiki/National_Institute_of_General_Medical_Sciences
Ministerio de Ciencia e Innovación,42,Government,carbon (6);DMS (4);organophosphate (4);PAHs (3);PEs (3),,
U.S. Department of Health and Human Services,42,Government,polyfluoroalkyl (6);PFOA (5);PFOS (4);PFHxS (4);carbon (3),"The United States Department of Health and Human Services (HHS) is a cabinet-level executive branch department of the U.S. federal government created to set guidelines for the private healthcare system and providing essential human services in areas such as funding medical studies. Before the separate federal Department of Education was created in 1979, it was called the Department of Health, Education, and Welfare (HEW). HHS is administered by the secretary of health and human services, who is appointed by the president with the advice and consent of the United States Senate. The United States Public Health Service Commissioned Corps, the uniformed service of the U.S. Public Health Service, is led by the surgeon general who is responsible for addressing matters concerning public health as authorized by the secretary or by the assistant secretary for health in addition to their primary mission of administering the Commissioned Corps.",https://en.wikipedia.org/wiki/United_States_Department_of_Health_and_Human_Services
Office of Science,39,Government,oxygen (7);carbon (7);α-pinene (6);OH (4);Fe (4),"The Office of Science is a component of the United States Department of Energy (DOE). The Office of Science is the lead federal agency supporting fundamental scientific research for energy and the Nation’s largest supporter of basic research in the physical sciences. The Office of Science portfolio has two principal thrusts: direct support of scientific research and direct support of the development, construction, and operation of unique, open-access scientific user facilities that are made available for use by external researchers.",https://en.wikipedia.org/wiki/Office_of_Science
National Institutes of Health,37,Government,carbon (5);arsenicals (5);arsenic (5);O (4);polycyclic aromatic hydrocarbon (4),"The National Institutes of Health (NIH) is the primary agency of the United States federal government responsible for biomedical and public health research. It was founded in 1887 and is part of the United States Department of Health and Human Services (HHS). Many NIH facilities are located in Bethesda, Maryland, and other nearby suburbs of the Washington metropolitan area, with other primary facilities in Research Triangle Park in North Carolina and smaller satellite facilities located around the United States.",https://en.wikipedia.org/wiki/National_Institutes_of_Health
Natural Science Foundation of Hunan Province,34,Government,Hg0 (8);mercury (8);carbon (4);sulfur (4);SO2 (4),,
Natural Science Foundation of Fujian Province,32,Government,DMS (7);carbon (7);nitrogen (6);nitrate (5);ammonium (5),,
"Ministry of Education, Culture, Sports, Science and Technology",30,Government,carbon (6);polychlorinated biphenyl (4);Copper (4);Zn (4);nitrogen (4),"The Ministry of Education, Culture, Sports, Science and Technology  is one of the eleven ministries of Japan that compose part of the executive branch of the government of Japan.",https://en.wikipedia.org/wiki/Ministry_of_Education%2C_Culture%2C_Sports%2C_Science_and_Technology
National Research Foundation Singapore,27,Government,carbon (5);oxygen (4);1-octanol (3);polychlorinated biphenyls (2);PCB (2),,
Ministry of Education - Singapore,27,Government,carbon (3);N2 (3);polychlorinated biphenyls (3);PBDEs (3);PCBs (3),,
Biotechnology and Biological Sciences Research Council,26,Government,phosphorus (3);N (3);estrogen (2);ferrihydrite (1);ferrous hydroxy carbonate (1),"The Biotechnology and Biological Sciences Research Council (BBSRC), is a council of UK Research and Innovation (UKRI), a non-departmental public body sponsored by the Department for Science, Innovation and Technology. It is the largest UK public funder of non-medical bioscience. It predominantly funds scientific research institutes and university research departments in the UK.",https://en.wikipedia.org/wiki/Biotechnology_and_Biological_Sciences_Research_Council
European Research Council,26,Government,oxygen (5);Fe (4);O2 (4);fatty acid (3);Fe(II) (2),"The European Research Council (ERC) is a public body for funding of scientific and technological research conducted within the European Union (EU). Established by the European Commission in 2007, the ERC is composed of an independent Scientific Council, its governing body consisting of distinguished researchers, and an Executive Agency, in charge of the implementation. It forms part of the framework programme of the union dedicated to research and innovation, Horizon 2020, preceded by the Seventh Research Framework Programme (FP7). The ERC budget is over €13 billion from 2014 – 2020 and comes from the Horizon 2020 programme, a part of the European Union's budget. Under Horizon 2020 it is estimated that around 7,000 ERC grantees will be funded and 42,000 team members supported, including 11,000 doctoral students and almost 16,000 post-doctoral researchers. The ERC awards to individuals are widely considered to be either among the most, or else the most prestigious grant for academics in Europe.",https://en.wikipedia.org/wiki/European_Research_Council
Natural Science Foundation of Hubei Province,26,Government,oxygen (8);Fe(II) (6);hydroxyl (4);•OH (4);lepidocrocite (3),,
FP7 Ideas: European Research Council,25,Government,carbon (8);Atrazine (4);amide (4);ammonia (3);Nitrogen (2),,
