Researcher,Affiliation,Companies
"Aase, Heidi","Norwegian Institute of Public Health, Department of Child Health and Development, N-0213 Oslo, Norway","[""Ministry of Science and Technology of the People's Republic of China [Government]"", '?333 Project? of Jiangsu Province [Unknown]', 'Priority Academic Program Development of Jiangsu Higher Education Institutions [Unknown]', 'Nanjing Medical Science and Technique Development Foundation [Foundation]']"
"Ab Hamid, Nur Hafizah","School of Chemical Engineering, The University of Queensland, St. Lucia, Brisbane, Queensland 4072, Australia; School of Chemical and Energy Engineering, Universiti Teknologi Malaysia, Johor Bahru, Johor 81310, Malaysia","['Australian Research Council [Unknown]', 'China Scholarship Council [Unknown]', 'University of Queensland [University]']"
"Abad, Esteban","Water and Soil Quality Research Group, Institute of Environmental Assessment and Water Research (IDAEA- CSIC), C/Jordi Girona, 18-26, 08034, Barcelona, Catalonia, Spain","['Ministerio de Ciencia e Innovaci?n [Unknown]', ""Minist?re de l'Education Nationale, de l'Enseignement Superieur et de la Recherche [Unknown]"", 'Conseil R?gional Aquitaine [Unknown]']"
"Abafe, Ovokeroye A.","School of Geography, Earth and Environmental Sciences, University of Birmingham, Birmingham B15 2TT, United Kingdom",['H2020 Marie Sklodowska-Curie Actions [Unknown]']
"Abafogi, Abdurhaman Teyib","School of Mechanical Engineering, Sungkyunkwan University, Suwon 16419, Korea","['National Research Foundation of Korea [Foundation]', 'Kangbuk Samsung Hospital-Biomedical Institute for Convergence, Sungkyunkwan University [University]']"
"Abarca Perez, Angela","Department of Civil and Environmental Engineering and Earth Sciences, University of Notre Dame, Notre Dame, Indiana 46556, United States","['Division of Chemistry [Unknown]', 'University of Notre Dame [University]', 'Strategic Environmental Research and Development Program [Unknown]']"
"Abballe, Annalisa","Department of Environment and Health, Italian National Institute for Health, Viale Regina Elena 299, 00161 Rome, Italy","['Ministerstvo ?kolstv?, Ml?de?e a Telov?chovy [Unknown]', 'Horizon 2020 Framework Programme [Unknown]', 'Operational Programme Research, Development and Innovation [Unknown]']"
"Abbas, Abdennour","Department of Bioproducts and Biosystems Engineering, University of Minnesota—Twin Cities, St. Paul, Minnesota 55108, United States",['U.S. Department of Agriculture [Government]']
"Abbasi, Sajjad","Department of Earth Sciences, College of Science, Shiraz University, Shiraz, 71454, Iran",['Kerman University of Medical Sciences [University]']
"Abbaszade, Gülcin","Joint Mass Spectrometry Center, Cooperation Group Comprehensive Molecular Analytics, Helmholtz Zentrum München, German Research Center for Environmental Health, Ingolstädter Landstr. 1, Neuherberg 85764, Germany","[""Ministry of Science and Technology of the People's Republic of China [Government]"", 'Bundesministerium f?r Verkehr und Digitale Infrastruktur [Unknown]', 'China Scholarship Council [Unknown]', 'Beijing Municipality [Unknown]']"
"Abbatt, Jonathan P. D.","Department of Chemistry, University of Toronto, 80 St. George Street, M5S 3H6 Toronto, Ontario, Canada","['Alfred P. Sloan Foundation [Foundation]', 'Natural Sciences and Engineering Research Council of Canada [Unknown]', ""Ministry of Science and Technology of the People's Republic of China [Government]"", 'Natural Sciences and Engineering Research Council of Canada [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'Jiangsu Provincial Collaborative Innovation Center for Climate Change [Unknown]', 'Alfred P. Sloan Foundation [Foundation]', 'Alfred P. Sloan Foundation [Foundation]', 'Alfred P. Sloan Foundation [Foundation]', 'Alfred P. Sloan Foundation [Foundation]', 'Alfred P. Sloan Foundation [Foundation]', 'Canada Research Chairs [Unknown]', 'Alfred P. Sloan Foundation [Foundation]', 'Alfred P. Sloan Foundation [Foundation]', 'Natural Sciences and Engineering Research Council of Canada [Unknown]', 'Alfred P. Sloan Foundation [Foundation]', 'Natural Sciences and Engineering Research Council of Canada [Unknown]', 'Alfred P. Sloan Foundation [Foundation]', 'Natural Sciences and Engineering Research Council of Canada [Unknown]', 'Alfred P. Sloan Foundation [Foundation]', 'Natural Sciences and Engineering Research Council of Canada [Unknown]', 'Merck KGaA [Unknown]', 'Alfred P. Sloan Foundation [Foundation]', 'Canada Foundation for Innovation [Foundation]', 'Canada Research Chairs [Unknown]', 'Division of Atmospheric and Geospace Sciences [Unknown]', 'Natural Sciences and Engineering Research Council of Canada [Unknown]', 'British Columbia Knowledge Development Fund [Unknown]', 'Alfred P. Sloan Foundation [Foundation]', 'Natural Sciences and Engineering Research Council of Canada [Unknown]', 'Alfred P. Sloan Foundation [Foundation]', 'Natural Sciences and Engineering Research Council of Canada [Unknown]', 'Alfred P. Sloan Foundation [Foundation]', 'Natural Sciences and Engineering Research Council of Canada [Unknown]', 'Alfred P. Sloan Foundation [Foundation]', 'Natural Sciences and Engineering Research Council of Canada [Unknown]', 'Environment and Climate Change Canada [Unknown]', 'Natural Sciences and Engineering Research Council of Canada [Unknown]']"
"Abbatt, Jonathan P.D.",Department of Chemistry; University of Toronto; School of the Environment; University of Toronto,"['Alfred P. Sloan Foundation [Foundation]', 'Alfred P. Sloan Foundation [Foundation]', 'Alfred P. Sloan Foundation [Foundation]', 'Natural Sciences and Engineering Research Council of Canada [Unknown]', 'Science and Technology Commission of Shanghai Municipality [Unknown]', 'Natural Sciences and Engineering Research Council of Canada [Unknown]', 'Government of Ontario [Government]']"
"Abbatt, Jonathan P.D.","University of Toronto, Toronto M5S 3H6, Ontario,Canada",['Alfred P. Sloan Foundation [Foundation]']
"Abbatt, Jonathan P.","Department of Chemistry, University of Toronto, Toronto, Ontario M5S 3H6, Canada",['Alfred P. Sloan Foundation [Foundation]']
"Abbatt, Jonathan","University of Toronto, Toronto, Ontario M5S 3H6, Canada","['National Institute of Environmental Health Sciences [University]', 'Environmental Protection Agency [Government]', 'Centers for Disease Control and Prevention [Unknown]', 'Alfred P. Sloan Foundation [Foundation]']"
"Abbew, Abdul-Wahab","Jiangsu Key Laboratory of Chemical Pollution Control and Resources Reuse, School of Environmental and Biological Engineering, Nanjing University of Science and Technology, Xiao Ling Wei 200, Nanjing 210094, Jiangsu, China","['China Association for Science and Technology [Unknown]', 'Natural Science Foundation of Jiangsu Province [Foundation]', 'National Natural Science Foundation of China [Foundation]', 'Fundamental Research Funds for the Central Universities [University]', 'Distinguished Professorship of Jiangsu Province [Unknown]']"
"Abdallah, Charbel","Laboratoire des Sciences du Climat et de l’Environnement, LSCE, UMR CNRS-CEA-UVSQ, IPSL, Gif-sur-Yvette, 91191 Île-de-France, France; Groupe de Spectrométrie Moléculaire et Atmosphérique GSMA, Université de Reims-Champagne Ardenne, UMR CNRS 7331, Moulin de la Housse, BP 1039, 51687 Reims 2, France","['H2020 Environment [Unknown]', 'CarboCount City project [Unknown]', 'Make Our Planet Great Again [Unknown]']"
"Abdallah, Mohamed Abou-Elwafa","School of Geography, Earth and Environmental Sciences, University of Birmingham, Birmingham B15 2TT, United Kingdom","['Not Found [Unknown]', 'Research Councils UK [Unknown]', 'Royal Society [Unknown]', 'European Commission [Unknown]', 'Petroleum Technology Development Fund, Nigeria [Unknown]', 'H2020 Marie Sklodowska-Curie Actions [Unknown]', 'University of Birmingham [University]']"
"Abdel-Aziz, M. H.","Chemical Engineering Department, Faculty of Engineering, Alexandria University, Alexandria, Egypt; Chemical and Materials Engineering Department, King Abdulaziz University, Rabigh, Saudi Arabia",['Not Found [Unknown]']
"Abdel-Shafy, Hussein I.","Water Research & Pollution Control Department, National Research Centre, El-Behous Street, Dokki, Cairo 12622, Egypt","['National Academy of Sciences [Unknown]', 'Ministry of Higher Education and Scientific Research [Government]', 'US-Egypt Joint Board on Scientific and Technological Cooperation [Unknown]', 'United States Agency for International Development [Government]']"
"Abdelhay, Arwa","Civil and Environmental Engineering department, German Jordanian University, Amman, Jordan",['Canadian government [Government]']
"Abdelraheem, Wael","Department of Environmental Science and Forestry, The Connecticut Agricultural Experimental Station, New Haven, Connecticut 06511, United States",['U.S. Department of Defense (DoD) Strategic Environmental Research and Development Program (SERDP) [Government]']
"Abdighahroudi, Mohammad Sajjad","Faculty of Chemistry, Instrumental Analytical Chemistry, University of Duisburg-Essen, Universitätsstraße 5, D-45141 Essen, Germany; Institute IWAR, Chair of environmental analytics and pollutants, Technical University of Darmstadt, Franziska-Braun-Straße 7, D-64287 Darmstadt, Germany","['Deutscher Akademischer Austauschdienst [Unknown]', 'Deutsche Forschungsgemeinschaft [Unknown]']"
"Abdighahroudi, Mohammad Sajjad","Technical University of Darmstadt, Institute IWAR, Chair of Environmental Analytics and Pollutants, Franziska-Braun-Straße 7, 64287 Darmstadt, Germany",['Technische Universit?t Darmstadt [University]']
"Abdilla, Bektur","Department of Earth Sciences, University of Delaware, 255 Academy Street, Newark, Delaware 19716, United States","['Basic Energy Sciences [Unknown]', 'U.S. Department of Energy [Government]']"
"Abdolahpur Monikh, Fazel","Department of Environmental & Biological Sciences, University of Eastern Finland, FI-80101 Joensuu, Finland; Department of Experimental Limnology, Leibniz Institute for Freshwater Ecology and Inland Fisheries, Müggelseedamm 310, 12587 Berlin, Germany","['OLVI-S??ti? [Unknown]', 'Jenny ja Antti Wihurin Rahasto [Unknown]', 'Suomen Akatemia [Unknown]', 'Horizon 2020 Framework Programme [Unknown]', 'Saastamoisen s??ti? [Unknown]', 'It?-Suomen Yliopisto [Unknown]', 'Water Resrach Program [Unknown]']"
"Abdoulaye, Boré","School of Environmental Science and Engineering/Key Laboratory of Efficient Utilization of Low and Medium Grade Energy (MoE)/Tianjin Key Lab of Biomass-wastes Utilization, Tianjin University, Tianjin 300072, China","[""Ministry of Science and Technology of the People's Republic of China [Government]"", 'National Natural Science Foundation of China [Foundation]']"
"Abdul Rahim, Arshath","Department of Civil Engineering, McGill University, Montreal, Quebec H3A 0C3, Canada","['Faculty of Engineering, McGill University [University]', 'Canada Foundation for Innovation [Foundation]', 'Fonds de Recherche du Qu?bec - Nature et Technologies [Company]', 'Natural Sciences and Engineering Research Council of Canada [Unknown]']"
"Abdul Rashid, Nur Shahidah","Division of Advanced Nuclear Engineering (DANE), Pohang University of Science and Technology (POSTECH), 77 Cheongam-ro,Nam-Gu, Pohang, Gyeongbuk 790-784, Republic of Korea","['National Research Foundation of Korea [Foundation]', 'Institute for Korea Spent Nuclear Fuel [Unknown]']"
"Abdulgader, Mohamed","School of Engineering and Built Environment, Griffith University, Brisbane, Australia; Department of Environmental Science, Faculty of Engineering & Technology, Sebha University, Sabha, Libya",['Not Found [Unknown]']
"Abdullaev, Sabur F.","Physical Technical Institute of the Academy of Sciences of Tajikistan, Dushanbe 734063, Tajikistan","['National Natural Science Foundation of China [Foundation]', 'Chinese Academy of Sciences [Unknown]', 'State Key Laboratory of Cryospheric Science [Unknown]']"
"Abdullahi Ari, Hadiza","Key Laboratory of Groundwater Resource and Environment, Ministry of Education, College of New Energy and Environment, Jilin University, Changchun, People’s Republic of China; Faculty of Sciences, National Open University of Nigeria (NOUN), Abuja, Nigeria","['National Natural Science Foundation of China [Foundation]', 'Science and Technology Development Program of Jilin Province [Unknown]', 'Open Project of State Key Laboratory of Inorganic Synthesis and Preparative Chemistry, Jilin University [University]']"
"Abdullahi, Muhammad","Environmental Genomics Group, School of Biosciences, the University of Birmingham, Birmingham B15 2TT, U.K.","['Research Councils UK [Unknown]', 'Royal Society [Unknown]', 'European Commission [Unknown]', 'Petroleum Technology Development Fund, Nigeria [Unknown]']"
"Abdumutallip, Munira","Shanghai Key Laboratory of Atmospheric Particle Pollution and Prevention (LAP3), Department of Environmental Science & Engineering, Fudan University, Shanghai 200438, China","['Agence Nationale de la Recherche [Unknown]', 'Research Grants Council, University Grants Committee [University]', 'H2020 Marie Sk??odowska-Curie Actions [Unknown]', 'National Natural Science Foundation of China [Foundation]']"
"Abdusalam, Abida","College of Urban and Environmental Sciences, MOE Laboratory for Earth Surface Process, Peking University, Beijing 100871, China","[""Ministry of Science and Technology of the People's Republic of China [Government]"", 'National Natural Science Foundation of China [Foundation]', 'Fisheries Innovation Team of Beijing Agriculture Innovation Consortium [Unknown]']"
"Abed, Raeid M. M.","College of Science, Biology Department, Sultan Qaboos University, P.O. Box 36, Al Khoud, Seeb 123, Sultanate of Oman","['Max-Planck-Gesellschaft [Unknown]', 'Hanse-Wissenschaftskolleg Institute for Advanced Study [Unknown]']"
"Abele, Cedric","Science for Life Laboratory, Department of Environmental Sciences, Stockholm University, 11418 Stockholm, Sweden; Stockholm University Center for Circular and Sustainable Systems (SUCCeSS), Stockholm University, 10691 Stockholm, Sweden",['Mistra SafeChem [Unknown]']
"Abeleira, Andrew","Department of Chemistry, Colorado State University, Fort Collins, Colorado 80523, United States","['Alfred P. Sloan Foundation [Foundation]', 'Alfred P. Sloan Foundation [Foundation]', 'Alfred P. Sloan Foundation [Foundation]', 'Alfred P. Sloan Foundation [Foundation]']"
"Abellar, Karizza A.","Department of Chemistry, University of California—Davis, Davis, California 95616, United States","['Division of Atmospheric and Geospace Sciences [Unknown]', 'Division of Agriculture and Natural Resources, University of California [University]']"
"Aben, Ilse",,['Not Found [Unknown]']
"Aben, Ilse","SRON Netherlands Institute for Space Research, 3584 CA Utrecht, The Netherlands","['Nederlandse Organisatie voor Wetenschappelijk Onderzoek [Unknown]', 'Netherlands Space Office [Unknown]', 'European Space Agency [Unknown]']"
"Aberle, Ezra","Carrington Research Extension Center, North Dakota State University, Carrington, North Dakota 58421, United States","['National Science Foundation Graduate Research Fellowship Program [Foundation]', 'Biological and Environmental Research [Unknown]', 'Stanford Precourt Institute for Energy [Unknown]']"
"Abernathy, Macon J.","Environmental Toxicology Program, University of California-Riverside, Riverside, California 92521, United States","['University of California, Riverside [University]', 'National Institute of Food and Agriculture [University]', 'National Institute of Food and Agriculture [University]', 'National Institutes of Health [Government]', 'National Institute of Environmental Health Sciences [University]', 'University of California, Riverside [University]', 'National Institute of Food and Agriculture [University]']"
"Abian, Joaquin","Biological and Environmental Proteomics Group, Institute of Biomedical Research of Barcelona, Spanish National Research Council (IIBB-CSIC/IDIBAPS), Rosellón 161, E-08036 Barcelona, Spain",['Ministerio de Ciencia e Innovaci?n [Unknown]']
"Abiola, Francine","Interfaculty Center for Training and Environmental Research for Sustainable Development, University of Abomey-Calavi, 03 BP 1463 Jéricho, Cotonou, Benin","['H2020 Societal Challenges [Unknown]', 'Bill and Melinda Gates Foundation [Foundation]']"
"Abi–Aad, Edmond","Unité de Chimie Environnementale et Interactions sur le Vivant, UR4492, Université du Littoral Côte d’Opale, Dunkerque, France","['Université du Littoral Côte d’Opale [University]', 'Agence De l’Environnement et de la Maitrise de l’Energie [Unknown]', 'Fonds Européen de Developpement Régional [Unknown]', 'Neo-Eco [Unknown]', 'Région Hauts-de-France [Unknown]']"
"Abney, Rebecca B.","D.B. Warnell School of Forestry and Natural Resources, University of Georgia, Athens, Georgia 30602, United States",['Not Found [Unknown]']
"Abney, Rebecca","Paul H. O’Neill School of Public & Environmental Affairs, Indiana University, Bloomington, Indiana 47405, United States; Warnell School of Forestry and Natural Resources, University of Georgia, Athens, Georgia 30602, United States","['U.S. Department of Energy [Government]', 'National Institutes of Health [Government]', 'National Science Foundation [Foundation]']"
"Abou-Daher, Mohamad","Physical Sciences and Engineering Division (PSE), KAUST Catalysis Center (KCC), Catalysis Nanomaterials and Spectroscopy (CNS), King Abdullah University of Science and Technology (KAUST), Thuwal 23955, Saudi Arabia",['King Abdullah University of Science and Technology [University]']
"Abou-Ghanem, Maya","Department of Chemistry, University of Alberta, Edmonton, Alberta T6G 2G2, Canada","['Canada Foundation for Innovation [Foundation]', 'Canada Research Chairs [Unknown]', 'Government of Canada [Government]', 'Faculty of Science, University of Alberta [University]', 'Department of Chemistry, University of Alberta [University]', 'Alberta Ministry of Economic Development and Trade [Government]']"
"Abou-Khalil, Charbel","Center for Natural Resources, Department of Civil and Environmental Engineering, New Jersey Institute of Technology, 323 MLK Blvd., Newark, New Jersey07102, United States","['Fisheries and Oceans Canada [Unknown]', 'Gulf of Mexico Research Initiative [Unknown]', 'Fisheries and Oceans Canada [Unknown]', 'Bedford Institute of Oceanography [University]']"
"Abou-Khalil, Charbel","Department of Civil and Environmental Engineering and Earth Sciences, University of Notre Dame, Notre Dame, Indiana 46556, United States","['University of Notre Dame [University]', 'Strategic Environmental Research and Development Program [Unknown]']"
"Aboubakr, Hamada","Department of Veterinary Population Medicine, College of Veterinary Medicine, University of Minnesota, Saint Paul, Minnesota 55108, United States",['Novisphere [Unknown]']
"Abouhend, Ahmed S.","Department of Civil and Environmental Engineering, University of Massachusetts, Amherst, Amherst, Massachusetts 01003, United States","['Division of Industrial Innovation and Partnerships [Unknown]', 'National University of Sciences and Technology [University]', 'Division of Chemical, Bioengineering, Environmental, and Transport Systems [Unknown]']"
"Abraham, Justine E. F.","Department of Civil Engineering, Queen’s University, Kingston, OntarioCanada, K7L 3N6","['Imperial Oil Limited [Unknown]', 'Natural Sciences and Engineering Research Council of Canada [Unknown]', 'WSP Golder [Unknown]']"
"Abrahamsen-Mills, Liam","National Nuclear Laboratory, Warrington, Cheshire WA3 6AE, United Kingdom","['Engineering and Physical Sciences Research Council [Unknown]', 'National Nuclear Laboratory [Unknown]', 'U.S. Nuclear Regulatory Commission [Unknown]', 'Engineering and Physical Sciences Research Council [Unknown]', 'National Nuclear Laboratory [Unknown]', 'H2020 European Research Council [Unknown]', 'Engineering and Physical Sciences Research Council [Unknown]', 'Diamond Light Source [Unknown]', 'Nuclear Decommissioning Authority [Unknown]']"
"Abrahamsson, Dimitri","Department of Obstetrics, Gynecology and Reproductive Sciences, Program on Reproductive Health and the Environment, University of California, San Francisco, San Francisco, California 94143, United States","['National Institute of Environmental Health Sciences [University]', 'NIH Office of the Director [Government]', 'U.S. Environmental Protection Agency [Government]', 'National Institute of Environmental Health Sciences [University]', 'U.S. Environmental Protection Agency [Government]']"
"Abrahamsson, Dimitri","Division of Environmental Pediatrics, Department of Pediatrics, Grossman School of Medicine, New York University, New York, New York 10016, United States; Department of Obstetrics, Gynecology and Reproductive Sciences, University of California, San Francisco, San Francisco, California 94158, United States","['National Institute of Environmental Health Sciences [University]', 'NIH Office of the Director [Government]', 'NYU Langone Medical Center [Unknown]']"
"Abramo, Graham P.","The Dow Chemical Company, Core Research and Development, Collegeville, Pennsylvania 19426, United States",['Office of Energy Efficiency and Renewable Energy [Unknown]']
"Abrantes, Nelson","CESAM and Department of Biology, University of Aveiro, 3810-193 Aveiro, Portugal","['H2020 Societal Challenges [Unknown]', 'Horizon 2020 Framework Programme [Unknown]']"
"Abreu Filho, Benício Alves de","Department of Basic Health Sciences, State University of Maringa, Maringa, Brazil",['Coordination for the Improvement of Higher Education Personnel – Brazil [Unknown]']
"Abriola, Linda M.","Department of Civil and Environmental Engineering, Tufts University, Medford, Massachusetts 02155, United States","['U.S. Department of Defense [Government]', 'Advanced Energy Consortium [Unknown]', 'Strategic Environmental Research and Development Program [Unknown]']"
"Abriola, Linda M.","School of Engineering, Brown University, Providence, Rhode Island 02912, United States","['U.S. Environmental Protection Agency [Government]', 'U.S. Department of Defense [Government]', 'U.S. Department of Energy [Government]', 'U.S. Department of Defense [Government]', 'China Scholarship Council [Unknown]', 'Auburn University [University]', 'National Science Foundation [Foundation]', 'U.S. Army Corps of Engineers [Unknown]', 'U.S. Department of Defense [Government]', 'Strategic Environmental Research and Development Program [Unknown]', 'Strategic Environmental Research and Development Program [Unknown]', 'China Scholarship Council [Unknown]', 'Auburn University [University]', 'Office of International Programs [Unknown]']"
"Abu Khalla, Shada","The Nancy and Stephen Grand Technion Energy Program, Technion-Israel Institute of Technology, Haifa 3200003, Israel; Faculty of Mechanical Engineering, Technion-Israel Institute of Technology, Haifa 3200003, Israel","['Nancy and Stephen Grand Technion Energy Program [Unknown]', 'Edmond de Rothschild Foundation [Foundation]', 'Russell Berrie Nanotechnology Institute, Technion-Israel Institute of Technology [University]', 'Israel Innovation Authority [Unknown]']"
"Abudumutailifu, Munila","Shanghai Key Laboratory of Atmospheric Particle Pollution and Prevention (LAP3), Department of Environmental Science & Engineering, Fudan University, Shanghai 200438, China","[""Ministry of Science and Technology of the People's Republic of China [Government]"", 'H2020 Marie Sklodowska-Curie Actions [Unknown]', 'Agilent Foundation [Foundation]', 'Science and Technology Commission of Shanghai Municipality [Unknown]', 'National Natural Science Foundation of China [Foundation]']"
"Abue, Pearl","McKetta Department of Chemical Engineering, University of Texas at Austin, Austin, Texas 78712, United States","['Welch Foundation [Foundation]', 'Division of Atmospheric and Geospace Sciences [Unknown]', 'Division of Chemical, Bioengineering, Environmental, and Transport Systems [Unknown]', 'Welch Foundation [Foundation]', 'National Science Foundation [Foundation]']"
"Abugabah, Ahed","College of Technological Innovation, Zayed University, Abu Dhabi Campus, Dubai, UAE",['Not Found [Unknown]']
"Abunaser, Suhaib G.","Environmental and Renewable energy Engineering, German Jordanian University, Amman, Jordan",['Canadian government [Government]']
"Abuov, Yerdaulet","Department of Civil and Environmental Engineering, School of Engineering and Digital Sciences, Nazarbayev University, Nur-Sultan 010000, Republic of Kazakhstan","['Ministry of Education and Science of the Republic of Kazakhstan [Government]', 'Nazarbayev University [University]']"
"Aburto, Felipe","Soil and Crop Sciences, Texas A&M University, 370 Olsen Blvd., College Station, Texas77843, United States","['National Institute of Food and Agriculture [University]', 'Texas AgriLife Research [Unknown]', 'Carbon Mitigation Initiative, Princeton University [University]', 'Department of Biological and Agricultural Engineering, Texas A&M University [University]']"
"Abusallout, Ibrahim","Department of Civil and Environmental Engineering, University of Nevada, Reno, Nevada 89557-0258, United States; CDM Smith, 75 State Street, Suite 701, Boston, Massachusetts 02109, United States; Fraunhofer USA, Inc., Center Midwest, Division for Coatings and Diamonds Technologies, East Lansing, Michigan 48824, United States","['Not Found [Unknown]', 'Not Found [Unknown]', 'National Science Foundation [Foundation]', 'The Strategic Environmental Research and Development Program [Unknown]']"
"Acha, Dario","Unidad de Calidad Ambiental (UCA) − Instituto de Ecologia - Universidad Mayor de San Andres, Campus Universitario de Cota Cota, Calle 27, 3161 La Paz, Bolivia","['Agence Nationale de la Recherche [Unknown]', 'Corporaci?n Minera de Bolivia [Unknown]']"
"Achakulwisut, Ploy","Stockholm Environment Institute US, Seattle, Washington 98101, United States","['Schmidt Family Foundation [Foundation]', 'H2020 European Research Council [Unknown]']"
"Acharya, Kishor","School of Engineering, Newcastle University, Newcastle upon Tyne NE1 7RU, United Kingdom","['Departamento Administrativo de Ciencia, Tecnolog?a e Innovaci?n [Government]', 'Engineering and Physical Sciences Research Council [Unknown]', 'European Chemical Industry Council [Unknown]']"
"Acharya, Suman","Department of Environment and Genetics, School of Agriculture, Biomedicine and Environment, La Trobe University, Albury/Wodonga Campus, Victoria 3690, Australia","['Svenska Forskningsr??det Formas [Unknown]', 'Vetenskapsr??det [Unknown]', 'Sveriges Lantbruksuniversitet [University]']"
"Achouri, Faouzi","Laboratoire de Traitement des Eaux Usées, Centre de Recherches et des Technologies des Eaux (CERTE), Soliman, Tunisia; Laboratoire Réactions et Génie des Procédés (LRGP), UMR7274, CNRS, Université de Lorraine, Nancy Cedex, France; Faculté des Sciences de Bizerte, Université de Carthage, Bizerte, Tunisia",['Ministry of Higher Education and Scientific Research [Government]']
"Achterberg, Eric P.","GEOMAR Helmholtz Centre for Ocean Research Kiel, Wischhofstraße 1-3, 24148 Kiel, Germany","['Deutsche Forschungsgemeinschaft [Unknown]', 'Helmholtz Association [Unknown]', 'Ministerio de Ciencia e Innovaci??n [Unknown]', 'Deutsche Forschungsgemeinschaft [Unknown]']"
