company,study_count,classification,top_chemicals,description,wiki_url
Georgia Institute of Technology,14,University,carbon (3);arsenic (2);Brønsted acid (2);NH3 (2);TiO2 (2),"The Georgia Institute of Technology is a public research university and institute of technology in Atlanta, Georgia, United States. Established in 1885, it has the largest student enrollment of the University System of Georgia institutions, with satellite campuses in Savannah, Georgia, and Metz, France.",https://en.wikipedia.org/wiki/Georgia_Tech
Harbin Institute of Technology,14,University,carbon (4);PBDE (2);PBDEs (2);polybrominated diphenyl ether (2);persulfate (2),"The Harbin Institute of Technology (HIT) is a public science and engineering university in Nan'gang, Harbin, Heilongjiang, China. It is one of the top universities in China and is affiliated with the Ministry of Industry and Information Technology. The university is part of Project 211, Project 985, and the Double First-Class Construction. The university is a member of the C9 League.",https://en.wikipedia.org/wiki/Harbin_Institute_of_Technology
Central China Normal University,14,University,oxygen (5);H2O2 (5);Fe (4);•OH (3);Cr(VI) (2),"Central China Normal University (CCNU) is a public normal school located in Wuhan, Hubei, China. It is affiliated with the Ministry of Education, and co-funded by the Hubei Provincial People's Government. The university is part of Project 211 and the Double First-Class Construction.",https://en.wikipedia.org/wiki/Central_China_Normal_University
Zhejiang University,14,University,Fe (3);PCP (3);SiO2 (2);oxygen (2);carbon (2),"Zhejiang University (ZJU) is a public research university in Hangzhou, Zhejiang, China. It is affiliated with the Ministry of Education. The university is part of the C9 League, Project 211, Project 985, and Double First-Class Construction.",https://en.wikipedia.org/wiki/Zhejiang_University
China University of Geosciences,14,University,montmorillonite (3);carbon (3);Fe oxides (2);Se (2);iodide (2),"China University of Geosciences may refer to two independent and separated universities:China University of Geosciences (Beijing)
China University of Geosciences (Wuhan)",https://en.wikipedia.org/wiki/China_University_of_Geosciences
University Grants Committee,13,University,oxygen (3);carbon (3);beta-lactams (2);N (2);S (2),"University Grants Committee may refer to:University Grants Committee 
University Grants Committee 
Universities New Zealand",https://en.wikipedia.org/wiki/University_Grants_Committee
University of California,13,University,hydroxyl (3);H2O2 (2);carbon (2);singlet molecular oxygen (2);Cl (2),"The University of California (UC) is a public land-grant research university system in the U.S. state of California. Headquartered in Oakland, the system is composed of its ten campuses at Berkeley, Davis, Irvine, Los Angeles, Merced, Riverside, San Diego, San Francisco, Santa Barbara, and Santa Cruz, along with numerous research centers and academic centers abroad. The system is the state's land-grant university.",https://en.wikipedia.org/wiki/University_of_California
McGill University,13,University,Methane (4);PFAS (3);polyfluoroalkyl (3);polystyrene (2);17α-ethinylestradiol (2),"McGill University is an English-language public research university in Montreal, Quebec, Canada. Founded in 1821 by royal charter, the university bears the name of James McGill, a Scottish merchant, whose bequest in 1813 established the University of McGill College. In 1885, the name of the university was officially changed to McGill University.",https://en.wikipedia.org/wiki/McGill_University
"Jiangsu Provincial Key Laboratory of Radiation Medicine and Protection, Soochow University",12,University,carbon (4);Eu(III) (3);U(VI) (3);hydroxide (2);lanthanides (2),,
"State Key Laboratory of Pollution Control and Resource Reuse, Nanjing University",12,University,O (4);Fe (2);arsenic (2);hydroxyl (2);fatty acids (2),,
"Division of Agriculture and Natural Resources, University of California",12,University,Cu(II) (2);hydroxyl (2);phenol (2);phenols (2);carbon (2),,
Korea Institute of Science and Technology,12,University,PMS (3);TiO2 (3);peroxymonosulfate (3);H2O2 (3);Ag (2),"The Korea Institute of Science and Technology is a multi-disciplinary research institute located in Seoul, South Korea. Founded in 1966, it was the first multi-disciplinary scientific research institute in Korea and has contributed significantly to the economic development of the country, particularly during the years of accelerated growth in the 1970s and 1980s. It has a research staff of over 1,800 research scientists, visiting scientists, fellows and trainees, and foreign scientists involved in basic research in various fields of science and technology.",https://en.wikipedia.org/wiki/Korea_Institute_of_Science_and_Technology
University of Toronto,12,University,NH3 (2);selenate (1);selenium (1);selenomethionine (1);selenomethionine oxide (1),"The University of Toronto is a public research university with three main campuses in the Greater Toronto Area of Ontario, Canada. Based on the grounds that surround Queen's Park in Toronto, it was founded by royal charter in 1827 as King's College, the provincial university of Upper Canada and its first institution of higher learning. Originally controlled by the Church of England, the university assumed its present name in 1850 upon becoming a secular institution.",https://en.wikipedia.org/wiki/University_of_Toronto
Shandong University,12,University,nitrogen (3);carbon (3);oxygen (3);nitrates (2);OH (2),"Shandong University is a public university in Jinan, Shandong, China. It is affiliated with the Ministry of Education of China. The university is part of Project 211, Project 985, and the Double First-Class Construction.",https://en.wikipedia.org/wiki/Shandong_University
Beijing Normal University,11,University,carbon (3);Hg (2);Mg (2);polycyclic aromatic hydrocarbon (2);hydroxyl (2),"Beijing Normal University (BNU) is a public university in Haidian, Beijing, China. It is affiliated with the Ministry of Education of China, and co-funded by the Ministry of Education and the Beijing Municipal People's Government. It is a renowned institution of higher education known for teacher education, education science and basic learning in both the arts and the sciences. The university is part of Project 211, Project 985, and the Double First-Class Construction.",https://en.wikipedia.org/wiki/Beijing_Normal_University
University of Illinois at Urbana-Champaign,11,University,phosphorus (4);ethanol (3);nitrogen (2);FTSs (2);PFAS (2),"The University of Illinois Urbana-Champaign is a public land-grant research university in the Champaign–Urbana metropolitan area, Illinois, United States. Established in 1867, it is the founding campus and flagship institution of the University of Illinois System. With over 59,000 students, the University of Illinois is one of the largest public universities by enrollment in the United States.",https://en.wikipedia.org/wiki/University_of_Illinois_Urbana-Champaign
Universidade de Macau,11,University,nitrate (3);carbon (3);carbonyl (2);Cl2• (1);Fe3+ (1),The University of Macau is a Macau public university located on Hengqin Island on land leased to Macau. It was established by the Macau legislature in 1991 and has been funded by the Government of Macau since then.,https://en.wikipedia.org/wiki/University_of_Macau
"China University of Geosciences, Wuhan",11,University,carbon (3);Fe (3);Fe(III) (2);14C (1);207Pb (1),,
"State Key Laboratory in Marine Pollution, City University of Hong Kong",10,University,"naphthenic acids (2);1,3,6,8-tetrabromocarbazole (1);3,6-Dibromocarbazole (1);Br2 (1);Br4I (1)",,
Princeton University,10,University,carbon (8);carbon dioxide (7);coal (4);methane (2);calcium carbonate (2),"Princeton University is a private Ivy League research university in Princeton, New Jersey, United States. Founded in 1746 in Elizabeth as the College of New Jersey, Princeton is the fourth-oldest institution of higher education in the United States and one of the nine colonial colleges chartered before the American Revolution. The institution moved to Newark in 1747 and then to its Mercer County campus in Princeton nine years later. It officially became a university in 1896 and was subsequently renamed Princeton University.",https://en.wikipedia.org/wiki/Princeton_University
University of Washington,10,University,O3 (2);nitrogen (2);CO2 (2);Gemfibrozil (1);hydroxyl-metabolite (1),"The University of Washington is a public research university in Seattle, Washington, United States. Founded in 1861, it is one of the oldest universities on the West Coast of the United States.",https://en.wikipedia.org/wiki/University_of_Washington
