company,study_count,classification,top_chemicals,description,wiki_url
U.S. Environmental Protection Agency,563,Government,carbon (86);CN (59);alkyl (48);fluoroalkyl (46);polyfluoroalkyl (35),"The Environmental Protection Agency (EPA) is an independent agency of the United States government tasked with environmental protection matters. President Richard Nixon proposed the establishment of EPA on July 9, 1970; it began operation on December 2, 1970, after Nixon signed an executive order. The order establishing the EPA was ratified by committee hearings in the House and Senate.",https://en.wikipedia.org/wiki/United_States_Environmental_Protection_Agency
China Scholarship Council,402,Government,e (346);carbon (96);CH (54);NH (49);oxygen (46),"The China Scholarship Council is China's Ministry of Education body that provides support for international academic exchanges with the country and is the primary vehicle through which the Chinese government awards scholarships. CSC provides both funding for Chinese citizens and residents to study abroad, and for foreign students and scholars to study in China. The agency predominantly provides scholarships to individuals, including in batches allocated to specific foreign universities.",https://en.wikipedia.org/wiki/China_Scholarship_Council
Australian Research Council,339,Government,carbon (45);Fe (41);oxygen (39);Nitrogen (36);Fe(III) (31),"The Australian Research Council (ARC) is a Commonwealth entity established as an independent body under the Australian Research Council Act 2001, reporting to the Minister for Education.",https://en.wikipedia.org/wiki/Australian_Research_Council
"Research Grants Council, University Grants Committee",327,University,carbon (30);nitrogen (23);hydroxyl (22);Oxygen (22);Cl (20),,
Japan Society for the Promotion of Science,300,Government,carbon (29);DMS (19);O2 (18);N (17);Fe (12),"The Japan Society for the Promotion of Science  is an Independent Administrative Institution in Japan, established for the purpose of contributing to the advancement of science in all fields of the natural and social sciences and the humanities.",https://en.wikipedia.org/wiki/Japan_Society_for_the_Promotion_of_Science
Division of Atmospheric and Geospace Sciences,251,Unknown,carbon (37);Isoprene (26);ozone (25);NO3(-) (25);oxygen (24),,
Deutsche Forschungsgemeinschaft,251,Unknown,carbon (43);Fe (34);O2 (26);oxides (18);Fe(II) (17),"The German Research Foundation is a German research funding organization, which functions as a self-governing institution for the promotion of science and research in the Federal Republic of Germany. In 2019, the DFG had a funding budget of €3.3 billion.",https://en.wikipedia.org/wiki/German_Research_Foundation
Natural Science Foundation of Jiangsu Province,245,Government,oxygen (40);carbon (38);chloro (23);Fe (22);hydroxyl (21),,
National Research Foundation of Korea,238,Government,carbon (32);O2 (25);NH (18);H2O2 (17);Fe (14),The National Research Foundation of Korea is a research institute for Korean studies.,https://en.wikipedia.org/wiki/National_Research_Foundation_of_Korea
U.S. Department of Energy,236,Government,carbon (55);CO2 (31);nitrate (16);Iron (16);oxygen (15),"The  United States Department of Energy (DOE) is an executive department of the U.S. federal government that oversees national energy policy and energy production, the research and development of nuclear power, the military's nuclear weapons program, nuclear reactor production for the United States Navy, energy-related research, and energy conservation.",https://en.wikipedia.org/wiki/United_States_Department_of_Energy
Division of Chemistry,235,Unknown,carbon (35);O (31);hydroxyl (27);SH (26);carboxyl (22),,
Agence Nationale de la Recherche,213,Government,mercury (31);carbon (19);methylmercury (19);PP (16);N (15),"The Agence Nationale de la Recherche is a French institution tasked with funding scientific research. It was founded on 7 February 2005 as a groupement d'intérêt public, and has acquired the status of établissement public à caractère administratif on 1 August 2006.",https://en.wikipedia.org/wiki/Agence_nationale_de_la_recherche
Fundamental Research Funds for the Central Universities,211,Unknown,oxygen (48);carbon (40);DMS (28);N (27);Iron (27),,
Natural Environment Research Council,209,Government,carbon (24);DMS (18);N (17);NO3(-) (14);carbon dioxide (11),"The Natural Environment Research Council (NERC) is a council of UK Research and Innovation (UKRI), a non-departmental public body sponsored by the Department for Science, Innovation and Technology, responsible for supporting research, training and knowledge transfer activities in the environmental sciences.",https://en.wikipedia.org/wiki/Natural_Environment_Research_Council
National Institute of Food and Agriculture,206,Government,graphite (39);oxygen (20);Fe (20);nitrogen (19);CH (14),"The National Institute of Food and Agriculture (NIFA) is a U.S. federal government body whose creation was mandated in the Food, Conservation, and Energy Act of 2008. Its purpose is to consolidate all federally funded agricultural research, and it is subordinate to the Department of Agriculture. It replaced the Cooperative State Research, Education, and Extension Service in 2009. Dr. Jaye L. Hamby was appointed NIFA Director on March 20, 2025.",https://en.wikipedia.org/wiki/National_Institute_of_Food_and_Agriculture
Schweizerischer Nationalfonds zur Förderung der wissenschaftlichen Forschung,204,Government,carbon (28);O2 (28);Fe (22);Fe(II) (19);Fe(III) (12),,
Science and Technology Commission of Shanghai Municipality,187,Government,e (137);oxygen (39);carbon (34);SH (25);Fe (21),,
Youth Innovation Promotion Association of the Chinese Academy of Sciences,179,Unknown,O (33);carbon (23);N (21);Hg (20);O3 (12),,
Division of Graduate Education,175,Unknown,carbon (35);oxides (13);chlorine (12);nitrate (12);nitrogen (12),,
European Commission,174,Government,carbon (23);CO2 (15);CH4 (12);O (11);iron (10),"The European Commission (EC) is the executive cabinet of the European Union. It is composed of 27 members of the Commission corresponding to the number of member states, unless the European Council, by unanimous consent, decides to alter this number.",https://en.wikipedia.org/wiki/European_Commission
Biological and Environmental Research,173,Government,carbon (37);SH (34);oxygen (26);iron (22);Uranium (19),,
National Aeronautics and Space Administration,173,Government,carbon (28);O3 (27);methane (20);NO2 (17);NO3 (10),"The National Aeronautics and Space Administration is an independent agency of the U.S. federal government responsible for the United States' civil space program and for research in aeronautics and space. Headquartered in Washington, D.C., NASA operates ten field centers across the U.S. and is organized into three mission directorates: Human Spaceflight, Research and Technology, and Science. Established in 1958 amid the Space Race, NASA succeeded the National Advisory Committee for Aeronautics (NACA) to give the U.S. space program a distinct civilian orientation focused on peaceful applications. Since then, it has led most American spaceflight programs, including Project Mercury, Project Gemini, the Apollo program, Skylab, the Space Shuttle, the International Space Station (ISS) and the ongoing multi-national Artemis program.",https://en.wikipedia.org/wiki/NASA
Division of Earth Sciences,171,Unknown,Fe (29);carbon (28);oxygen (20);Fe(II) (20);Fe(II (18),,
Natural Science Foundation of Guangdong Province,165,Government,O2 (18);carbon (15);nitrogen (14);enol (14);alkyl (13),,
U.S. Department of Defense,164,Government,fluoroalkyl (45);polyfluoroalkyl (33);carbon (26);perfluoroalkyl (24);H2 (23),"The United States Department of Defense (DoD), also referred to as the Department of War (DoW), is an executive department of the United States federal government charged with coordinating and supervising the United States Armed Forces—the Army, Navy, Marines, Air Force, Space Force, and, for some purposes, the Coast Guard—and related functions and agencies. Headquartered at the Pentagon in Arlington County, Virginia, just outside Washington, D.C., the stated mission of the Department of Defense is ""to provide the military forces needed to deter war and ensure our nation's security"".",https://en.wikipedia.org/wiki/United_States_Department_of_Defense
Alfred P. Sloan Foundation,158,Foundation,O3 (35);carbon (18);Methane (16);OH (16);CO2 (12),"The Alfred P. Sloan Foundation is an American philanthropic nonprofit organization. It was established in 1934 by Alfred P. Sloan Jr., president and chief executive officer of General Motors.",https://en.wikipedia.org/wiki/Alfred_P._Sloan_Foundation
European Regional Development Fund,157,Unknown,carbon (18);CO2 (9);carboxyl (7);OH (5);esters (5),"The European Regional Development Fund (ERDF) is one of the European Structural and Investment Funds allocated by the European Union. Its purpose is to transfer money from richer regions, and invest it in the infrastructure and services of underdeveloped regions. This will allow those regions to start attracting private sector investments, and create jobs on their own.",https://en.wikipedia.org/wiki/European_Regional_Development_Fund
U.S. Geological Survey,154,Unknown,mercury (29);carbon (24);methylmercury (23);MeHg (17);N (17),"The United States Geological Survey (USGS), founded as the Geological Survey, is an agency of the United States Department of the Interior whose work spans the disciplines of biology, geography, geology, and hydrology. The agency was founded on March 3, 1879, to study the landscape of the United States, its natural resources, and the natural hazards that threaten it. The agency also makes maps of planets and moons, based on data from U.S. space probes.",https://en.wikipedia.org/wiki/United_States_Geological_Survey
Basic Energy Sciences,151,Unknown,iron (26);carbon (21);CO2 (20);Fe(III) (18);Uranium (16),,
Bundesministerium für Bildung und Forschung,139,Unknown,carbon (22);polyethylene (11);O (10);polystyrene (9);nitrogen (8),"The Federal Ministry of Research, Technology and Space is a cabinet-level ministry of Germany. It is headquartered in Bonn, with an office in Berlin. The Ministry provides funding for research projects and institutions.",https://en.wikipedia.org/wiki/Federal_Ministry_of_Research%2C_Technology_and_Space
National Oceanic and Atmospheric Administration,136,Unknown,carbon (22);nitrogen (21);ozone (17);CH4 (10);O (8),"The National Oceanic and Atmospheric Administration is a United States scientific and regulatory agency tasked with forecasting weather, monitoring oceanic and atmospheric conditions, charting the seas, conducting deep-sea exploration, and managing fishing and protection of marine mammals and endangered species in the US exclusive economic zone. The agency is part of the United States Department of Commerce and is headquartered in Silver Spring, Maryland.",https://en.wikipedia.org/wiki/National_Oceanic_and_Atmospheric_Administration
Svenska Forskningsrådet Formas,135,Unknown,alkyl (34);polyfluoroalkyl (23);perfluoroalkyl (22);PCP (19);carbon (18),,
Division of Ocean Sciences,132,Unknown,carbon (19);oxygen (15);Hg (14);DMS (11);nitrogen (10),,
Division of Engineering Education and Centers,131,Unknown,carbon (30);O2 (23);chlorine (17);NO3(-) (13);nitrogen (12),,
Vetenskapsrådet,129,Unknown,carbon (21);Hg (13);goethite (10);Fe (9);DMS (9),"The Swedish Research Council is a Government agency in Sweden established in 2001, with the responsibility to support and develop basic scientific research. Its objective is for Sweden to be a leading nation in scientific research. The agency has three main functions:To distribute government funding for basic research
To advise the government on issues related to scientific research
To communicate science and scientific research to the general public",https://en.wikipedia.org/wiki/Swedish_Research_Council
Central University Basic Research Fund of China,125,University,O (29);carbon (12);N2 (12);H2O2 (11);atomic hydrogen (11),,
U.S. Department of Agriculture,123,Government,O (15);carbon (14);iron (12);graphene oxide (9);nitrogen (9),"The United States Department of Agriculture (USDA) is an executive department of the United States federal government that aims to meet the needs of commercial farming and livestock food production, promotes agricultural trade and production, works to assure food safety, protects natural resources, fosters rural communities and works to end hunger in the United States and internationally. It is headed by the secretary of agriculture, who reports directly to the president of the United States and is a member of the president's Cabinet. The current secretary is Brooke Rollins, who has served since February 13, 2025.",https://en.wikipedia.org/wiki/United_States_Department_of_Agriculture
Norges Forskningsråd,123,Unknown,alkyl (21);perfluoroalkyl (17);carbon (14);PFOS (14);PCB (14),,
Canada Research Chairs,121,Unknown,carbon (16);Hg (13);nitrogen (11);amino (11);Cd (10),Canada Research Chair (CRC) is a title given to certain Canadian university research professors by the Canada Research Chairs Program.,https://en.wikipedia.org/wiki/Canada_Research_Chair
Natural Science Foundation of Zhejiang Province,120,Government,oxygen (20);PCP (18);carbon (17);CN (17);Fe (15),,
